Bed Room,BHK,Place,Price,Sq Ft,Dealer Type
2,BHK,Kolkata,68.34,1340,Broker
2,BHK,Kolkata,25.95,927,Broker
2,BHK,Kolkata,24.2,880,Broker
2,BHK,Kolkata,30.99,1127,Broker
2,BHK,Kolkata,35.93,1239,Broker
2,BHK,Kolkata,28.33,1012,Broker
2,BHK,Kolkata,25.95,927,Broker
2,BHK,Kolkata,20.07,717,Broker
2,BHK,Kolkata,28.33,1012,Broker
2,BHK,Kolkata,45.67,1015,Broker
4,BHK,Kolkata,98.8,1453,Broker
3,BHK,Kolkata,90.04,1072,Broker
2,BHK,Kolkata,43.24,1081,Broker
3,BHK,Kolkata,40.56,1014,Broker
3,BHK,Kolkata,93.97,1593,Broker
2,BHK,Kolkata,19.29,984,Broker
2,BHK,Kolkata,40.28,1119,Broker
2,BHK,Kolkata,77.02,983,Broker
2,BHK,Kolkata,30.87,1029,Broker
2,BHK,Kolkata,23.19,773,Broker
2,BHK,Kolkata,50,939,Broker
2,BHK,Kolkata,31.24,992,Broker
2,BHK,Kolkata,29,725,Broker
2,BHK,Kolkata,90.71,1334,Broker
3,BHK,Kolkata,90.71,1334,Broker
2,BHK,Kolkata,10.34,433,Broker
2,BHK,Kolkata,50.2,1255,Broker
2,BHK,Kolkata,66.79,1410,Broker
2,BHK,Kolkata,81.19,1714,Broker
2,BHK,Kolkata,32.64,1166,Broker
1,BHK,Kolkata,12.9,576,Broker
3,BHK,Kolkata,45.64,1141,Broker
3,BHK,Kolkata,39.89,1339,Broker
2,BHK,Kolkata,53,878,Broker
2,BHK,Kolkata,61.96,1291,Broker
2,BHK,Kolkata,25.29,709,Broker
2,BHK,Kolkata,32.86,922,Broker
2,BHK,Kolkata,16.7,620,Broker
2,BHK,Kolkata,27.27,765,Broker
2,BHK,Kolkata,39.06,868,Broker
2,BHK,Kolkata,59.67,1170,Broker
2,BHK,Kolkata,61.75,968,Broker
2,BHK,Kolkata,53.55,1050,Broker
2,BHK,Kolkata,52.34,667,Broker
2,BHK,Kolkata,79.29,1161,Broker
3,BHK,Kolkata,51.44,808,Broker
3,BHK,Kolkata,90.04,1072,Broker
2,BHK,Kolkata,18.85,725,Broker
2,BHK,Kolkata,45,960,Broker
1,BHK,Kolkata,14.62,450,Broker
4,BHK,Kolkata,85,1899,Broker
2,BHK,Kolkata,24.69,882,Broker
2,BHK,Kolkata,53,1195,Broker
2,BHK,Kolkata,44.46,1170,Broker
2,BHK,Kolkata,41.42,1135,Broker
1,BHK,Kolkata,16.92,564,Broker
3,BHK,Kolkata,23.94,921,Broker
2,BHK,Kolkata,31.24,992,Broker
2,BHK,Kolkata,29.15,1060,Broker
2,BHK,Kolkata,46.3,1029,Broker
2,BHK,Kolkata,39.91,887,Broker
2,BHK,Kolkata,33.88,968,Broker
2,BHK,Kolkata,83.26,1500,Broker
2,BHK,Kolkata,44.13,1261,Broker
2,BHK,Kolkata,20.68,591,Broker
2,BHK,Kolkata,86.04,1550,Broker
2,BHK,Kolkata,98.5,2985,Broker
1,BHK,Kolkata,18.83,468,Broker
2,BHK,Kolkata,62.37,945,Broker
3,BHK,Kolkata,53,1130,Broker
2,BHK,Kolkata,87.26,1818,Broker
2,BHK,Kolkata,35.7,850,Broker
2,BHK,Kolkata,75,820,Broker
2,BHK,Kolkata,28.33,1012,Broker
2,BHK,Kolkata,17.6,566,Broker
2,BHK,Kolkata,59.53,968,Broker
2,BHK,Kolkata,59.56,1241,Broker
2,BHK,Kolkata,20.07,717,Broker
2,BHK,Kolkata,14.58,521,Broker
2,BHK,Kolkata,26.66,796,Broker
2,BHK,Kolkata,25.15,749,Broker
3,BHK,Kolkata,47.91,1295,Broker
2,BHK,Kolkata,28,884,Broker
2,BHK,Kolkata,27.04,805,Broker
2,BHK,Kolkata,31,807,Broker
2,BHK,Kolkata,50.16,1520,Broker
2,BHK,Kolkata,97.57,1301,Broker
2,BHK,Kolkata,33.74,1133,Broker
3,BHK,Kolkata,90.71,1334,Broker
3,BHK,Kolkata,43.43,1190,Broker
2,BHK,Kolkata,59.67,1170,Broker
2,BHK,Kolkata,29.51,1054,Broker
2,BHK,Kolkata,30.4,800,Broker
2,BHK,Kolkata,39.19,1104,Broker
2,BHK,Kolkata,30.28,853,Broker
2,BHK,Kolkata,33.97,944,Broker
2,BHK,Kolkata,31.41,1122,Broker
2,BHK,Kolkata,32.5,1300,Broker
2,BHK,Kolkata,31.8,896,Broker
2,BHK,Kolkata,20.07,717,Broker
2,BHK,Kolkata,14.58,521,Broker
2,BHK,Kolkata,34.8,1039,Broker
2,BHK,Kolkata,26.66,796,Broker
2,BHK,Kolkata,40.2,1200,Broker
3,BHK,Kolkata,53.46,1620,Broker
3,BHK,Kolkata,91.23,1573,Broker
2,BHK,Kolkata,65,1018,Broker
